Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,330,Female,56,1,Sales Representative,2,Married,20990,2,No,11,2,6,5,3,4,3,1,2
45,No,Travel_Rarely,252,Research & Development,1,3,Other,336,Male,70,5,Manager,4,Married,15970,0,No,11,2,25,2,3,24,0,1,7
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,342,Male,61,3,Manufacturing Director,3,Divorced,22573,6,No,11,2,17,5,3,1,0,0,0
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,351,Female,56,1,Laboratory Technician,1,Divorced,8007,0,Yes,11,2,10,4,3,9,6,7,8
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,353,Male,96,1,Research Scientist,4,Married,23231,1,No,11,2,1,0,2,1,0,0,0
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,355,Male,71,1,Laboratory Technician,2,Single,11652,0,No,11,2,6,2,4,5,4,1,4
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,373,Male,47,1,Laboratory Technician,4,Married,20251,0,No,11,2,16,4,3,15,13,10,11
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,396,Female,35,5,Research Director,1,Single,25594,9,Yes,11,2,22,4,3,3,2,1,2
31,No,Travel_Frequently,444,Sales,5,3,Marketing,399,Female,84,1,Sales Representative,2,Divorced,3909,1,No,11,2,2,5,2,2,2,2,2
31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,416,Male,100,2,Sales Executive,4,Married,12241,4,No,11,2,10,3,2,8,7,7,7
33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,428,Female,74,3,Manager,2,Married,23364,6,No,11,2,12,2,3,10,6,8,8
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,436,Female,65,2,Sales Executive,2,Married,24624,1,Yes,11,2,13,2,3,13,12,11,9
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,Male,74,2,Sales Executive,3,Single,5242,1,Yes,11,2,5,3,3,5,4,0,4
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,447,Male,42,5,Research Director,3,Married,16375,4,No,11,2,21,2,3,3,2,1,1
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,448,Female,82,2,Laboratory Technician,3,Divorced,6227,1,No,11,2,9,3,4,9,7,0,0
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,454,Male,77,1,Laboratory Technician,1,Married,4759,1,Yes,11,2,7,4,2,7,7,0,7
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,Male,52,1,Human Resources,3,Divorced,24017,0,Yes,11,2,4,5,3,3,2,1,0
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,Female,99,1,Sales Representative,2,Single,9150,1,Yes,11,2,3,3,3,3,2,1,2
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,Male,48,3,Sales Executive,4,Married,7246,4,No,11,2,16,2,3,13,9,1,12
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,482,Male,88,2,Healthcare Representative,3,Married,2967,2,No,11,2,15,2,3,3,2,1,2
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,497,Male,82,1,Laboratory Technician,2,Divorced,17881,1,No,11,2,5,2,3,5,2,0,4
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,Female,87,2,Sales Executive,4,Married,14862,4,No,11,2,18,2,2,7,7,0,7
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,Male,59,4,Research Director,2,Divorced,4345,1,No,11,2,25,3,3,25,10,3,9
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,522,Male,86,5,Research Director,1,Married,8509,4,No,11,2,24,4,2,4,2,1,2
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,Female,99,2,Sales Executive,4,Single,12090,1,Yes,11,2,5,3,3,5,4,1,3
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,Female,86,4,Sales Executive,1,Married,18256,9,No,11,2,36,0,2,7,7,7,7
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,Female,83,2,Sales Executive,3,Single,19558,0,No,11,2,6,6,3,5,4,4,4
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,547,Female,92,2,Research Scientist,3,Divorced,12932,2,No,11,2,19,3,3,5,4,0,2
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,549,Female,41,5,Manager,1,Married,3854,5,No,11,2,33,5,1,29,8,11,10
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,551,Female,88,2,Healthcare Representative,4,Married,4386,0,No,11,2,7,4,4,6,5,0,4
30,No,Non-Travel,1398,Sales,22,4,Other,567,Female,69,3,Sales Executive,1,Married,2890,0,No,11,2,10,3,3,9,8,7,8
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,578,Female,42,2,Laboratory Technician,3,Single,23428,7,No,11,2,19,3,3,1,0,0,0
35,No,Travel_Rarely,619,Sales,1,3,Marketing,600,Male,85,2,Sales Executive,3,Married,18659,9,No,11,2,15,2,3,11,9,6,9
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,602,Female,48,1,Laboratory Technician,3,Married,17872,1,No,11,2,8,3,3,8,3,0,7
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,608,Female,58,1,Human Resources,3,Divorced,22808,0,Yes,11,2,8,2,2,7,7,1,0
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,624,Female,86,3,Healthcare Representative,3,Married,8984,5,No,11,2,28,3,2,2,2,1,2
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,639,Male,89,1,Research Scientist,4,Married,21630,1,Yes,11,2,6,3,3,6,5,1,4
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,644,Male,99,5,Manager,2,Married,7999,1,No,11,2,32,2,3,32,5,10,7
25,No,Travel_Rarely,622,Sales,13,1,Medical,645,Male,40,1,Sales Representative,3,Married,26376,1,No,11,2,7,1,3,7,4,0,6
37,No,Travel_Rarely,558,Sales,2,3,Marketing,656,Male,75,2,Sales Executive,3,Married,3010,4,Yes,11,2,17,3,2,3,0,1,0
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,664,Female,40,4,Manager,1,Married,17997,7,No,11,2,21,3,1,3,2,0,2
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,665,Female,50,2,Human Resources,3,Single,26894,4,No,11,2,10,1,4,2,2,0,2
27,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,667,Male,85,1,Sales Representative,1,Divorced,16346,0,No,11,2,5,3,3,4,3,0,2
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,669,Male,49,1,Sales Representative,3,Single,24444,1,No,11,2,3,2,3,3,2,1,2
36,No,Travel_Rarely,913,Research & Development,9,2,Medical,699,Male,48,2,Manufacturing Director,2,Divorced,13934,2,Yes,11,2,13,2,3,3,2,0,2
45,No,Travel_Rarely,193,Research & Development,6,4,Other,101,Male,52,3,Research Director,1,Married,15067,4,Yes,14,3,17,3,4,0,0,0,0
20,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,701,Male,32,1,Research Scientist,3,Single,26999,1,Yes,11,2,1,5,3,1,0,1,1
33,Yes,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,702,Male,70,1,Research Scientist,1,Single,3164,1,Yes,11,2,10,3,3,10,8,9,7
50,No,Travel_Rarely,1207,Research & Development,28,1,Medical,716,Male,74,1,Laboratory Technician,3,Married,3297,1,Yes,11,2,20,3,3,20,8,3,8
39,No,Travel_Rarely,408,Research & Development,2,4,Technical Degree,721,Female,80,2,Healthcare Representative,3,Single,20978,1,No,11,2,20,4,3,20,7,11,10
27,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,725,Female,68,3,Manufacturing Director,1,Married,6009,1,No,11,2,9,3,3,9,7,0,7
29,No,Travel_Rarely,1396,Sales,10,3,Life Sciences,749,Male,99,1,Sales Representative,3,Single,2755,1,No,11,2,1,6,3,1,0,0,0
34,No,Travel_Rarely,970,Research & Development,8,2,Medical,757,Female,96,2,Healthcare Representative,3,Single,7360,3,No,11,2,10,2,3,5,1,4,3
56,No,Travel_Rarely,832,Research & Development,9,3,Medical,762,Male,81,4,Healthcare Representative,4,Married,20420,7,No,11,2,30,1,2,10,7,1,1
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,113,Male,62,1,Sales Representative,1,Divorced,9518,3,No,13,3,3,3,3,0,0,0,0
35,No,Non-Travel,1225,Research & Development,2,4,Life Sciences,771,Female,61,2,Healthcare Representative,1,Divorced,4761,2,No,11,2,16,2,4,1,0,0,0
52,No,Travel_Rarely,621,Sales,3,4,Marketing,776,Male,31,4,Manager,1,Married,10084,1,No,11,2,34,3,4,34,6,1,16
54,No,Travel_Rarely,376,Research & Development,19,4,Medical,799,Female,95,2,Manufacturing Director,1,Divorced,22670,9,Yes,11,2,9,4,3,5,3,1,4
34,No,Travel_Rarely,121,Research & Development,2,4,Medical,804,Female,86,1,Research Scientist,1,Single,7530,1,No,11,2,6,3,3,6,5,1,3
24,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,812,Male,60,1,Laboratory Technician,2,Divorced,26551,1,No,11,2,1,4,3,1,0,0,0
29,Yes,Travel_Rarely,805,Research & Development,1,2,Life Sciences,816,Female,36,1,Laboratory Technician,1,Married,6689,1,Yes,11,2,1,1,3,1,0,0,0
33,No,Travel_Rarely,213,Research & Development,7,3,Medical,817,Male,49,3,Research Director,3,Married,25995,0,No,11,2,14,3,4,13,9,3,7
47,No,Travel_Rarely,202,Research & Development,2,2,Other,820,Female,33,4,Manager,4,Married,12982,1,Yes,11,2,26,3,2,26,14,3,0
35,No,Travel_Rarely,1343,Research & Development,27,1,Medical,856,Female,53,1,Research Scientist,1,Single,17852,1,No,11,2,6,3,2,6,5,1,1
32,No,Travel_Rarely,117,Sales,13,4,Life Sciences,859,Male,73,2,Sales Executive,4,Divorced,9250,2,No,11,2,8,3,2,5,2,0,3
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,905,Male,98,4,Manager,1,Divorced,4544,1,No,11,2,31,3,3,31,6,14,7
39,No,Travel_Rarely,1383,Human Resources,2,3,Life Sciences,909,Female,42,2,Human Resources,4,Married,7790,8,No,11,2,13,2,3,5,4,0,4
33,No,Travel_Rarely,1075,Human Resources,3,2,Human Resources,910,Male,57,1,Human Resources,2,Divorced,22650,3,Yes,11,2,7,4,4,4,3,0,3
33,No,Travel_Rarely,1198,Research & Development,1,4,Other,939,Male,100,1,Research Scientist,1,Single,3339,3,Yes,11,2,6,1,3,3,2,0,2
49,No,Travel_Rarely,527,Research & Development,8,2,Other,944,Female,51,3,Laboratory Technician,2,Married,22477,4,No,11,2,29,3,2,26,9,1,7
31,No,Travel_Rarely,616,Research & Development,12,3,Medical,961,Female,41,2,Healthcare Representative,4,Married,17369,0,Yes,11,2,10,2,1,9,7,8,5
36,Yes,Travel_Rarely,530,Sales,3,1,Life Sciences,967,Male,51,3,Sales Executive,4,Married,5518,1,Yes,11,2,16,6,3,16,7,3,7
37,Yes,Travel_Rarely,625,Sales,1,4,Life Sciences,970,Male,46,3,Sales Executive,3,Married,14922,5,No,11,2,17,2,1,14,1,11,7
30,No,Travel_Rarely,231,Sales,8,2,Other,982,Male,62,3,Sales Executive,3,Divorced,9977,5,No,11,2,10,2,4,8,4,7,7
33,No,Non-Travel,722,Sales,17,3,Life Sciences,992,Male,38,4,Manager,3,Single,20489,1,No,11,2,10,2,3,10,8,6,0
30,Yes,Travel_Rarely,138,Research & Development,22,3,Life Sciences,1004,Female,48,1,Research Scientist,3,Married,11539,4,Yes,11,2,7,2,3,5,2,0,1
54,No,Travel_Rarely,1441,Research & Development,17,3,Technical Degree,1013,Female,56,3,Manufacturing Director,3,Married,13943,8,No,11,2,22,2,3,10,7,0,8
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,144,Female,59,1,Laboratory Technician,4,Single,23785,1,No,15,3,1,5,3,0,0,0,0
35,No,Travel_Rarely,583,Research & Development,25,4,Medical,1014,Female,57,3,Healthcare Representative,3,Divorced,6975,1,Yes,11,2,16,3,2,16,10,10,1
34,No,Travel_Rarely,216,Sales,1,4,Marketing,1047,Male,75,2,Sales Executive,4,Divorced,12278,0,No,11,2,16,2,2,15,1,0,9
50,No,Travel_Rarely,1464,Research & Development,2,4,Medical,1061,Male,62,5,Research Director,3,Married,12853,2,Yes,11,2,29,2,2,8,1,7,7
54,No,Travel_Rarely,1082,Sales,2,4,Life Sciences,1070,Female,41,3,Sales Executive,3,Married,8392,6,No,11,2,13,4,3,9,4,7,0
36,No,Travel_Rarely,796,Research & Development,12,5,Medical,1073,Female,51,3,Manufacturing Director,4,Single,15669,0,No,11,2,15,2,2,14,8,7,8
43,No,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,1126,Female,83,3,Manufacturing Director,1,Married,11535,8,No,11,2,18,1,3,8,7,0,1
39,Yes,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1127,Male,84,4,Healthcare Representative,4,Divorced,13547,7,No,11,2,21,4,3,18,7,11,5
21,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1131,Female,70,1,Research Scientist,2,Single,25326,1,Yes,11,2,2,6,4,2,2,2,2
35,No,Travel_Frequently,1182,Sales,11,2,Marketing,1137,Male,54,2,Sales Executive,4,Divorced,18500,1,No,11,2,5,3,3,5,2,0,2
34,No,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,1140,Male,95,2,Manufacturing Director,3,Single,15834,2,No,11,2,5,3,2,3,2,0,2
41,No,Travel_Rarely,167,Research & Development,12,4,Life Sciences,1158,Male,46,1,Laboratory Technician,4,Married,9051,3,Yes,11,2,6,4,3,1,0,0,0
28,Yes,Travel_Rarely,1485,Research & Development,12,1,Life Sciences,1175,Female,79,1,Laboratory Technician,4,Married,22955,1,Yes,11,2,1,4,2,1,1,0,0
44,Yes,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,1200,Male,96,1,Research Scientist,3,Single,10826,1,Yes,11,2,6,4,3,6,4,0,2
46,No,Travel_Rarely,1450,Research & Development,15,2,Life Sciences,1217,Male,52,5,Research Director,2,Married,10849,5,No,11,2,25,2,3,4,2,0,3
46,No,Travel_Rarely,150,Research & Development,2,4,Technical Degree,1228,Male,60,2,Manufacturing Director,4,Divorced,17433,2,No,11,2,12,3,2,6,3,1,4
35,No,Non-Travel,1212,Sales,8,2,Marketing,1243,Female,78,3,Sales Executive,4,Married,13755,4,Yes,11,2,16,6,2,13,2,4,12
48,No,Travel_Rarely,969,Research & Development,2,2,Technical Degree,1258,Male,76,1,Laboratory Technician,2,Single,16620,5,No,11,2,7,4,2,1,0,0,0
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,167,Male,50,1,Sales Representative,3,Single,26820,1,Yes,19,3,0,2,2,0,0,0,0
27,No,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1259,Male,76,1,Research Scientist,3,Divorced,3208,1,No,11,2,5,2,3,5,3,0,3
29,No,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1260,Male,82,2,Healthcare Representative,4,Divorced,4204,1,Yes,11,2,6,2,3,6,0,1,0
44,No,Travel_Rarely,1099,Sales,5,3,Marketing,1267,Male,88,5,Manager,2,Married,8751,7,No,11,2,26,5,3,22,9,3,10
28,No,Travel_Frequently,791,Research & Development,1,4,Medical,1286,Male,44,1,Laboratory Technician,3,Single,6842,0,Yes,11,2,5,2,2,4,2,0,2
34,No,Travel_Frequently,648,Human Resources,11,3,Life Sciences,1289,Male,56,2,Human Resources,2,Married,21833,4,No,11,2,14,5,4,10,9,1,8
36,No,Travel_Rarely,429,Research & Development,2,4,Life Sciences,1294,Female,53,2,Manufacturing Director,2,Single,2323,9,Yes,11,2,18,2,3,16,14,5,12
44,Yes,Travel_Rarely,621,Research & Development,15,3,Medical,1295,Female,73,3,Healthcare Representative,4,Married,14075,1,No,11,2,10,2,3,10,7,0,5
28,No,Travel_Rarely,640,Research & Development,1,3,Technical Degree,1301,Male,84,1,Research Scientist,1,Single,4732,2,No,11,2,5,2,2,3,2,1,2
28,No,Non-Travel,1476,Research & Development,1,3,Life Sciences,1315,Female,55,2,Laboratory Technician,4,Married,16392,0,No,11,2,10,6,3,9,8,7,5
50,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1317,Female,43,4,Research Director,1,Married,22422,4,Yes,11,2,25,2,3,3,2,1,2
39,No,Travel_Rarely,524,Research & Development,18,2,Life Sciences,1322,Male,32,2,Manufacturing Director,3,Single,13352,0,No,11,2,9,6,3,8,7,1,7
31,Yes,Travel_Frequently,1060,Sales,1,3,Life Sciences,1331,Female,54,1,Sales Representative,2,Single,8319,1,Yes,11,2,3,2,4,3,2,2,2
34,No,Travel_Rarely,943,Research & Development,9,3,Life Sciences,1344,Male,86,3,Healthcare Representative,4,Divorced,5494,0,No,11,2,10,0,2,9,7,1,6
35,No,Travel_Frequently,482,Research & Development,4,4,Life Sciences,1350,Male,87,2,Research Scientist,3,Single,2690,1,Yes,11,2,9,3,3,9,6,1,1
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1352,Male,84,4,Manager,2,Divorced,17588,1,Yes,11,2,33,2,3,33,9,0,10
25,No,Travel_Rarely,882,Research & Development,19,1,Medical,1358,Male,67,1,Laboratory Technician,4,Married,9075,3,No,11,2,7,6,2,3,2,1,2
48,No,Travel_Rarely,855,Research & Development,4,3,Life Sciences,1363,Male,54,3,Manufacturing Director,4,Single,18706,1,No,11,2,11,2,3,10,9,0,8
38,No,Travel_Frequently,693,Research & Development,7,3,Life Sciences,1382,Male,57,1,Research Scientist,3,Divorced,15748,1,No,11,2,4,2,3,4,2,0,3
34,No,Travel_Rarely,404,Research & Development,2,4,Technical Degree,1383,Female,98,2,Healthcare Representative,4,Single,6163,1,No,11,2,14,2,4,14,11,4,11
28,No,Travel_Rarely,736,Sales,26,3,Life Sciences,1387,Male,48,2,Sales Executive,1,Married,24232,1,No,11,2,5,0,3,5,3,0,4
51,No,Travel_Frequently,541,Sales,2,3,Marketing,1391,Male,52,3,Sales Executive,2,Married,15395,2,No,11,2,14,5,3,4,2,3,2
25,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1399,Male,93,2,Sales Executive,3,Married,12477,2,No,11,2,6,3,2,3,2,1,2
52,No,Travel_Frequently,322,Research & Development,28,2,Medical,1401,Female,59,4,Manufacturing Director,3,Married,9731,2,Yes,11,2,24,3,2,5,3,0,2
27,No,Travel_Rarely,205,Sales,10,3,Marketing,1403,Female,98,2,Sales Executive,4,Married,7100,1,Yes,11,2,6,3,3,6,2,4,4
35,No,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1412,Male,60,3,Manufacturing Director,4,Single,19944,2,No,11,2,10,2,3,2,2,2,2
25,No,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1415,Male,81,1,Laboratory Technician,4,Married,4910,4,No,11,2,7,2,2,3,2,0,2
31,No,Travel_Rarely,182,Research & Development,8,5,Life Sciences,1430,Female,93,4,Research Director,2,Single,8847,3,No,11,2,9,3,4,3,2,1,0
40,No,Non-Travel,663,Research & Development,9,4,Other,1449,Male,81,2,Laboratory Technician,3,Divorced,23099,3,No,11,2,11,2,4,8,7,0,7
46,Yes,Travel_Rarely,377,Sales,9,3,Marketing,1457,Male,52,3,Sales Executive,4,Divorced,15986,4,No,11,2,28,1,4,7,7,4,3
31,Yes,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1459,Female,100,3,Manufacturing Director,2,Single,8931,1,No,11,2,10,2,3,10,8,4,7
48,No,Travel_Rarely,1221,Sales,7,3,Marketing,1466,Male,96,2,Sales Executive,1,Divorced,24795,4,No,11,2,15,3,3,2,2,2,2
40,No,Non-Travel,218,Research & Development,8,1,Medical,1468,Male,55,3,Research Director,2,Divorced,25178,2,No,11,2,16,5,3,9,8,4,8
29,Yes,Travel_Frequently,115,Sales,13,3,Technical Degree,1487,Female,51,2,Sales Executive,2,Single,17485,5,No,11,2,7,4,1,5,3,0,0
33,No,Travel_Rarely,1099,Research & Development,4,4,Medical,1502,Female,82,1,Laboratory Technician,2,Married,8192,8,No,11,2,8,5,3,5,4,0,2
30,Yes,Travel_Rarely,740,Sales,1,3,Life Sciences,1562,Male,64,2,Sales Executive,1,Married,5323,1,No,11,2,10,4,3,10,8,6,7
38,No,Travel_Frequently,888,Human Resources,10,4,Human Resources,1563,Male,71,2,Human Resources,3,Married,14814,3,No,11,2,10,2,3,6,3,1,2
38,Yes,Travel_Rarely,903,Research & Development,2,3,Medical,1573,Male,81,2,Manufacturing Director,2,Married,7653,4,No,11,2,7,2,3,5,2,1,4
38,No,Travel_Rarely,1245,Sales,14,3,Life Sciences,1582,Male,80,2,Sales Executive,2,Married,12355,0,No,11,2,10,3,3,9,8,7,7
39,No,Travel_Rarely,1462,Sales,6,3,Medical,1588,Male,38,3,Sales Executive,3,Married,4658,2,No,11,2,11,3,3,7,6,7,6
27,No,Travel_Rarely,1302,Research & Development,19,3,Other,1619,Male,67,1,Laboratory Technician,1,Divorced,16290,1,No,11,2,7,3,3,7,7,0,7
35,No,Travel_Rarely,819,Research & Development,18,5,Life Sciences,1621,Male,48,2,Research Scientist,1,Married,26312,1,No,11,2,16,2,3,16,15,1,10
47,No,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1625,Female,98,5,Manager,3,Married,5220,3,No,11,2,27,2,3,5,2,1,0
37,No,Travel_Rarely,1470,Research & Development,10,3,Medical,1640,Female,71,1,Research Scientist,2,Married,9953,1,No,11,2,8,2,1,8,4,7,7
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,235,Female,100,1,Sales Representative,1,Single,20989,0,No,21,4,1,5,4,0,0,0,0
44,No,Travel_Frequently,602,Human Resources,1,5,Human Resources,1642,Male,37,2,Human Resources,4,Married,10503,4,Yes,11,2,14,3,3,10,7,0,2
